Job Name,Salary Description,Skills,City Name,Job Degree
iot物联网专家,20-40K·14薪,"['Java', 'SpringCloud', 'Hadoop']",青岛,本科
JAVA开发工程师（工业物联网方向）,10-15K,"['微服务架构', '容器技术', 'Socket技术', '网络协议', '网络编程', '多线程', 'Linux', 'Spring']",呼和浩特,本科
IOT  Sales Manager/工业物联网销售经理,15-30K,"['企业（To B）', '对企业/机构（To B）销售经验', '其他行业', '其他产品/服务']",上海,本科
Java高级工程师（物联网IoT）,15-25K,"['java', '物联网', 'IoT', '平台', '大数据', '电力', '全栈', '智能监控']",上海,本科
JAVA开发工程师（物联网方向）,15-25K·14薪,['Java'],苏州,本科
物联网开发工程师,18-35K·14薪,"['Java', '中大型项目架构设计经验', 'BI', '架构师', 'SpringMVC', 'Spring', '后端工程师', '网络协议', '计算机/软件工程相关经验', 'Java开发经验', '负载均衡技术', '多线程', '物联网']",苏州,本科
Java后端开发（物联网方向）,18-28K·13薪,"['Java', 'Spring', 'Python']",深圳,本科
Java开发工程师（IoT平台）,20-30K·14薪,"['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'PostgreSQL', '不接受居家办公', '分布式经验', '大数据经验']",上海,本科
物联网IOT架构师（深圳）,16-25K·13薪,"['C#', '容器技术', '分布式技术', '网络协议', '多线程', '消息队列', '网络编程', 'ASP.NET']",深圳,本科
c++开发工程师（物联网方向）,12-16K,"['C++', 'C语言', 'Linux开发/部署经验', '物联网上位机开发', '单片机开发', '客户端开发']",天津,本科
java开发工程师（物联网）,10-15K,"['Java', '物流仓储项目', '物联网', '烟草行业']",长沙,本科
物联网平台开发工程师,8-13K,"['Java', 'C', 'C++', 'Spring', 'Kafka', 'Tomcat', 'MySQL', 'Redis', 'Oracle', '不接受居家办公', 'MES开发经验', 'ERP开发经验', '团队管理经验']",钦州,大专
高级工程师(IoT业务),11-20K,"['物联网', '网络通信', '分布式技术', 'Java', 'Go']",泉州,本科
中高级java工程师（电力物联网）,20-30K·13薪,"['Java', 'Spring', 'MyBatis', 'Oracle', 'MySQL', '架构设计经验', '电力物联网']",青岛,本科
初级 物联网软件开发,10-15K,['Golang'],北京,本科
物联网开发工程师,10-15K,"['分布式技术', '网络协议', 'Socket技术', '消息队列', '微服务架构']",北京,本科
物联网软件开发（智能制造方向）,20-40K,"['Java', 'Python', 'C#', '不接受居家办公', '团队管理经验', '物联网经验', '大数据经验']",南通,大专
物联网开发工程师,12-15K,"['Java', 'SQL', 'Shell', '分布式技术', '多线程', '服务器配置', '网络协议', '消息队列']",重庆,本科
物联网开发,13-18K·13薪,"['音视频经验', 'C++', 'C', 'Boost', '嵌入式软件经验', 'Linux开发/部署经验']",深圳,本科
物联网工程师,12-15K,"['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'MongoDB', '物联网经验']",杭州,本科
IOT测试工程师,12-18K·13薪,"['整机测试', '可靠性测试', '功能性测试', '功耗测试']",北京,本科
物联网开发工程师（Java 方向）,12-24K,"['Java', '物联网']",武汉,本科
物联网开发工程师,7-12K,"['Java', 'C/C++', 'Java开发经验', '中大型项目架构设计经验', '大数据处理经验']",昆明,大专
智能物联网开发,5-10K·13薪,"['不接受居家办公', 'Java', 'C', 'C++', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', '云计算经验', '物联网经验', '大数据经验']",北京,本科
产品工程师（IOT）,12-20K·13薪,"['智能硬件产品', '物联网产品', '英语优秀']",武汉,本科
物联网开发工程师,11-20K·14薪,"['物联网', '网络协议', 'Socket技术', 'SpringBoot', 'SpringMVC', 'MySQL', '流媒体技术', '后端开发']",杭州,大专
物联网开发工程师,10-15K·13薪,"['网络协议', '微服务架构', '物联网']",南京,大专
物联网JAVA开发工程师,8-13K,"['分布式技术', '消息队列', '架构师', '物联网', '智慧园区', '智慧城市', '智慧楼宇', 'IOT']",深圳,大专
中高级物联网JAVA工程师,12-16K,"['不接受居家办公', 'Java', 'MyBatis', 'Kafka', '其他', 'MySQL', 'MongoDB', '团队管理经验', '架构设计经验', '物联网经验']",深圳,本科
IOT测试主管,16-23K,"['嵌入式测试', 'IOT测试']",杭州,本科
开发组长-（JAVA物联网方向）-郑州,12-24K,"['Java', 'MySQL', '不接受居家办公', 'MySQL', 'Java', 'Spring', '物联网经验', '物联', '商城']",郑州,本科
IOT项目经理,12-18K·14薪,"['实施交付经验', '中大型软件项目管理经验', 'PMP', 'PMI-ACP']",厦门,本科
物联网java开发工程师,13-17K,"['Java开发经验', 'Java', 'Redis', '物联网', '后端工程师', 'Spring', 'IOT']",西安,本科
IoT物联网架构师,40-60K,"['Java', '分布式技术', '网络协议', 'Spring', 'Netty', '平台架构']",深圳,本科
Java工程师（IOT方向）,15-23K,"['Java', 'Golang', 'SpringCloud', 'Kafka', '其他', 'MySQL', 'Redis', '物联网经验', 'PLC', 'Modbus', 'MQTT']",深圳,学历不限
物联网智能硬件工程师,9-14K,"['Python', '嵌入式技术', 'OpenCV', '人工智能', '客户端开发', '架构师', '高级软件工程师', '智能硬件']",上海,本科
java 物联网工程师,8-13K,"['分布式技术', '软件工程师', '后端开发', 'SpringBoot', 'MySQL', 'SQL Server', 'IDEA', '微服务架构']",长沙,大专
java物联网平台开发,8-13K·15薪,"['Java', 'MySQL', '网络协议', '计算机软件', '物联网']",南京,本科
物联网后台研发工程师,20-21K,"['Java', 'JVM', 'MySQL', '物联网']",武汉,本科
