Job Name,Salary Description,Skills,City Name,Job Degree
物联网研发专员,4-6K,"['架构师', '智能硬件', '管理系统', '物联网']",唐山,大专
物联网开发工程师,8-11K·15薪,"['C++', 'C', 'Redis', 'MySQL', 'Oracle', '嵌入式软件经验']",成都,本科
IoT软件开发,10-15K,['C/C++/Java等'],武汉,本科
物联网开发工程师,10-15K,"['C/C++', 'Java', '物联网', '数字工厂', 'MQTT']",南京,本科
测试与售后工程师（工业物联网产品）,5-7K·13薪,"['功能测试', 'Jira', '计算机相关专业', '通信相关专业', 'modbus', 'plc']",南京,本科
工业物联网工程师,14-15K·14薪,"['Java', 'Spring']",重庆,本科
IOT软件工程师,8-11K,"['功能测试', '自动化测试', 'MySQL', '计算机相关专业']",珠海,大专
IoT物联网安全初级工程师,10-15K,"['Java', 'Python', 'Burp Suite', '渗透测试经验', 'Web测试经验', '攻防对抗经验', 'Iot', '物联网', 'Devsecops ']",西安,本科
开发工程师(物联网),10-12K,"['后端工程师', 'C/C++', 'Python']",乌鲁木齐,大专
react物联网开发工程师,7-12K,['Node.js'],广州,大专
iot测试工程师,9-10K,"['计算机相关专业', '软件实施经验', 'iot']",深圳,大专
全栈工程师（物联网方向）,10-15K·13薪,"['Vue', 'Java', 'Node.js', '全栈项目经验']",中山,大专
物联网开发工程师,9-14K·14薪,"['SCADA', '设备联网', '数据采集']",南京,本科
IOT工程师,6-8K,"['PLC工程师', '电气工程师', 'IOT', '电气', 'PLC']",无锡,大专
急招智能硬件测试（IOT、app）,9-11K,"['功能测试', '性能测试', '测试工作经验', '智能硬件', 'IOT', '小度']",北京,大专
物联网软件测试,11-15K,['嵌入式测试'],福州,本科
IOT软件工程师,8-11K,"['功能测试', 'MySQL', '计算机相关专业', '自动化测试经验']",珠海,本科
IOT工程师,10-15K,"['IOT工程师', '物联网工程师', '数据采集']",佛山,大专
物联网工程师,7-12K,"['Java', '计算机/软件工程相关经验', 'Java开发经验']",临沂,本科
物联网工程师,10-15K,"['Java', 'C++', 'Python', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'PostgreSQL', 'Oracle', '架构设计经验', '物联网经验', '微服务经验', '不接受居家办公']",南京,学历不限
IoT设备开发工程师,20-30K,"['C++', 'MySQL', 'QT', 'Linux开发/部署经验', '智能开发']",南京,本科
支某宝IOT刷脸推广经理,3-8K,"['销售工作经验', '销售岗', '商务谈判能力', '客户开发', '可接受外勤和出差', '互联网/科技', '地推经验', '全职', '生活服务/O2O']",开封,大专
车载/物联网嵌入式软件工程师（大连）,8-12K,"['C语言', 'C++', 'C语言开发经验', '嵌入式开发经验', '计算机相关专业', '日语']",大连,本科
物联网专业实战老师,6-8K,"['C++', 'Python', 'ARM开发', '计算机相关专业', '嵌入式软件开发', '单片机设计经验']",淮安,本科
IOT运维工程师,9-12K,"['iot', '技术支持']",南京,本科
Java工程师（物联网方向）,5-10K,"['不接受居家办公', 'Java', 'C', 'Python', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', '架构设计经验', '分布式经验', '物联网经验']",昆明,本科
物联网软件工程师,8-10K,"['Java开发经验', '全栈工程师', 'Java', 'C/C++', '计算机/软件工程相关经验', 'Python']",东营,本科
实施工程师（IOT方向）,8-13K·14薪,"['软件实施经验', 'PMP', 'SAP', 'PLC', 'MES', '计算机相关专业', 'TMS', 'PMI-ACP', 'WMS', 'CSM/PSM', '可适应出差', 'IOT']",芜湖,大专
物联网开发工程师,10-15K,"['MQTT', 'Socket技术', '物联网开发', 'KAFKA', 'NETTY', '网络协议', 'IOT']",柳州,本科
物联网工程师,12-24K,"['C#', '物联网经验', 'Java', '团队管理经验', 'C++', '计算机软件', '软件工程师', 'SQL Server', '移动端', 'MySQL', '人工智能', '架构设计经验', '物联网', 'Oracle', 'PC端', '管理系统']",湖州,本科
物联网平台开发工程师,5-8K,"['不接受居家办公', 'Java', 'Spring', 'SpringCloud', 'MySQL', 'Redis', 'Oracle', '团队管理经验', '物联网经验']",临汾,本科
物联网后端工程师,100-150元/天,"['不接受居家办公', 'Java', 'Spring', 'Tomcat', 'Nginx', 'MySQL', 'Redis', 'MongoDB', '物联网经验']",西安,本科
物联网开发工程师,8-12K,"['高级软件工程师', 'Linux', 'Windows', 'PostgreSQL', 'Maven', 'Eclipse']",抚顺,本科
物联网 Java  开发工程师,5-10K·13薪,"['后端工程师', '架构师', '全栈工程师', '不限', 'Java', 'JavaScript', 'MySQL', 'Java开发经验', '分布式系统开发经验', '大数据处理经验']",长沙,本科
IOT物联网工程师,13-18K,"['物联网', 'IOT', 'MQTT']",长沙,本科
物联网开发工程师,5-6K,"['云计算', '网络安全', '物联网', 'Java', '车联网']",南阳,大专
物联网开发工程师,6-7K,"['全栈工程师', 'Java', 'Python', '计算机/软件工程相关经验', '不接受居家办公']",烟台,本科
FAE软件测试工程师（手机/物联网产品）,7-8K,"['通讯模块', '物联网loT', '手机测试']",上海,本科
产品工程师（IOT/物联网）,15-25K,['物联网产品'],广州,本科
iot验证工程师,10-15K,['自动化测试'],佛山,大专
物联网技术工程师,7-8K,"['C#', '嵌入式', '单片机']",武汉,大专
golang物联网工程师,5-8K,"['Golang', 'Golang服务端开发经验', '中大型项目开发经验', '计算机相关专业']",长沙,本科
物联网工程师,11-17K,"['全栈工程师', '架构师', 'Java', 'C/C++', 'Python', '计算机/软件工程相关经验', 'Java开发经验', '分布式系统开发经验']",常州,本科
