Job Name,Salary Description,Skills,City Name,Job Degree,Job Experience,Brand name,BrandIndustry,WelfareList
物联网软件员,7-12K,"['Java', 'C#', '不接受居家办公', '架构设计经验', 'python']",苏州,学历不限,经验不限,兆昌电子,电子商务,"['补充医疗保险', '餐补', '加班补助', '带薪年假', '节日福利', '股票期权', '员工旅游', '包吃', '五险一金', '年终奖', '零食下午茶']"
JAVA开发工程师（IOT平台）,6-11K·13薪,"['Java', 'Spring', 'JVM', 'MySQL', 'IOT开发']",台州,本科,经验不限,伟星股份,进出口贸易,"['年终奖', '节日福利', '五险一金', '免费班车', '员工旅游', '股票期权', '定期体检', '员工餐厅', '项目奖金']"
物联网低代码开发实习生（杭州）,100-200元/天,"['Java', 'Spring', 'SpringCloud', 'MySQL', '物联网经验']",杭州,本科,3-5年,网易,互联网,"['节日福利', '五险一金', '包吃', '带薪年假', '补充医疗保险', '定期体检', '免费班车', '全勤奖', '年终奖']"
物联网平台设计,3-4K,"['接受居家办公', 'Java', 'C', 'C#', 'Spring', 'MyBatis', '其他', 'MySQL', 'Spark', '其他', '架构设计经验', '分布式经验', '物联网经验']",海口,本科,1年以内,海口秀英小雅网络...,其他专业服务,"['底薪加提成', '年终奖', '节日福利', '有无线网']"
产品经理（IOT/物联网/数据中台）,15-18K·13薪,"['IOT', '物联网', '数据中台']",杭州,本科,3-5年,水木物联,通信/网络设备,"['全勤奖', '工龄奖', '生日福利', '免费班车', '年终奖', '免费工装', '绩效奖金', '带薪年假', '节日福利', '通讯补贴', '团建聚餐', '五险一金', '员工旅游', '股票期权', '零食下午茶', '交通补助', '加班补助', '定期体检', '高温补贴']"
物联网IoT开发工程师,8-12K,"['嵌入式/单片机开发经验', '计算机相关专业']",上饶,大专,经验不限,上饶高投智城科技,互联网,['五险一金']
物联网开发工程师,6-8K,"['C++', 'Java', '计算机相关专业', 'C++服务端开发经验', 'Qt项目开发经验']",沧州,本科,1-3年,任丘泽云信息技术...,智能硬件,"['交通补助', '员工旅游', '全勤奖', '五险一金', '股票期权']"
软件测试工程师（物联网）,6-9K,"['功能测试', '性能测试', '压力测试', 'Python', '通信相关专业', '计算机相关专业', '测试工作经验']",惠州,大专,1-3年,九联科技,通信/网络设备,"['员工旅游', '节日福利', '生日福利', '团建聚餐', '高温补贴', '免费班车', '五险一金', '带薪年假', '补充医疗保险', '餐补', '免费工装', '通讯补贴', '有无线网', '宿舍有空调', '定期体检']"
物联网工程师/小程序开发方向,8-12K,"['小程序', '混合app', 'JavaScript', 'HTML5', 'CSS', '计算机/软件工程相关专业', '原生app开发经验', '混合app开发经验', '物联网', '运营商', 'MQTT']",南昌,大专,1-3年,科晨洪兴,计算机服务,"['补充医疗保险', '免费班车', '五险一金', '包吃', '定期体检', '年终奖', '带薪年假', '节日福利', '餐补']"
IoT(物联网)现场实施工程师,8-10K,"['计算机相关专业', 'PLC', '嵌入式', '系统集成项目经验']",杭州,本科,1-3年,杭州希秀泛在计算技术,大数据,"['加班补助', '带薪年假', '五险一金', '年终奖', '绩效奖金']"
物联网,4-9K,"['Java', 'Nginx', '物联网经验', '不接受居家办公', 'C++', '分布式经验', 'PostgreSQL', 'Kafka', 'Redis', '其他', 'Python']",昆明,本科,1-3年,通朔数字科技,计算机软件,"['意外险', '年终奖', '五险一金', '全勤奖']"
iot产品经理,7-12K·14薪,"['物联网产品', '智能家居']",厦门,本科,经验不限,Runner建霖家居,进出口贸易,"['年终奖金', '包吃午餐', '带薪年假', '节日福利', '上下班车', '定期体检', '五险一金']"
物联网工程师,6-10K,"['负载均衡技术', '分布式技术', 'GIT', 'NoSQL', 'Memcached', 'Redis', 'MongoDB']",合肥,本科,1-3年,中科智驰,智能硬件,"['五险一金', '节日福利', '加班补助', '带薪年假', '年终奖']"
IOT产品运营专员,6-8K,['C端产品'],兰州,本科,1-3年,甘肃海荣通讯有限公司,消费电子,[]
物联网工程师,7-12K,"['PLC', '物联网', '数据采集']",郑州,本科,1-3年,扁担科技,互联网,"['员工旅游', '带薪年假', '社会保险', '完善的培训', '股票期权', '节日福利', '补充医疗保险', '零食下午茶']"
物联网软件工程师,8-10K·13薪,"['嵌入式技术', 'C语言', 'C#', '单片机开发']",泉州,大专,1年以内,科缔恒,通信/网络设备,"['五险一金', '年终奖', '节日福利', '零食下午茶']"
IOT开发技术支持,3-6K,"['C++', '通信相关专业']",南宁,本科,1-3年,法创智能,智能硬件,"['节日福利', '零食下午茶', '带薪年假', '工龄奖', '年终奖']"
物联网开发工程师,4-7K,"['后端', 'Python', 'Java', 'Django', '计算机相关专业', '服务端开发经验', '智慧楼宇数据接口开发', 'API接口开发', '不是前端']",南昌,大专,1-3年,保控电子科技,智能硬件,"['底薪加提成', '保底工资', '绩效奖金', '年终奖', '五险一金']"
物联网工程师,5-10K,"['Linux', 'Socket技术', '网络交换技术', '消息队列', '.NET', 'WPF', 'Framework', 'DevExpress']",烟台,大专,经验不限,恒远科技,计算机软件,"['团建聚餐', '绩效奖金', '股票期权', '五险一金', '节日福利', '零食下午茶', '定期体检', '通讯补贴', '年终奖', '底薪加提成', '保底工资', '生日福利', '员工旅游', '包吃', '免费工装']"
java开发工程师(IoT物联网平台开发）,9-11K,"['接受无前端经验/技能', '不限', 'Java', '不接受居家办公', 'Spring', 'SpringCloud', 'MySQL', '架构设计经验', '物联网经验', 'ZIGBEE', 'LORA', 'Wi-Fi']",苏州,大专,3-5年,新巢天诚,智能硬件,"['团建聚餐', '股票期权', '五险一金', '年终奖', '加班补助', '带薪年假', '员工旅游', '定期体检']"
物联网开发工程师,7-12K,"['接受居家办公', 'Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle', '物联网经验', '物联网平台', '车联网', '服务器运维']",南阳,学历不限,5-10年,河南省鑫磊公司,环保,"['五险一金', '交通补助', '股票期权', '加班补助', '补充医疗保险', '免费班车', '带薪年假', '员工旅游', '通讯补贴', '节日福利', '全勤奖', '定期体检', '住房补贴', '包吃', '年终奖', '餐补', '零食下午茶']"
IOT软件高级工程师,10-15K,"['Java', 'C++', 'Python']",南通,本科,1-3年,金红叶纸业,日化,"['节日福利', '交通补助', '加班补助', '全勤奖', '通讯补贴', '带薪年假', '定期体检', '五险一金', '住房补贴', '年终奖', '零食下午茶']"
IoT产品研发,10-15K,"['C#', '.NET', '.NET开发经验']",佛山,本科,经验不限,常青树信息公司,计算机软件,"['节日福利', '团建聚餐', '节假日加班费', '年终奖', '五险一金']"
IoT技术支持,6-7K,['售前/售后技术支持'],杭州,本科,1-3年,浙江云夕科技有限公司,计算机服务,"['带薪年假', '节日福利', '餐补', '年终奖', '五险一金', '定期体检', '零食下午茶', '交通补助']"
IoT测试工程师(J10120),8-13K·15薪,"['嵌入式测试', '嵌入式测试']",厦门,本科,1-3年,星纵物联,计算机软件,"['员工旅游', '生日福利', '半年奖', '五险一金', '月度激励', '零食下午茶', '年终奖', '带薪年假']"
物联网软件开发工程师,9-14K,"['C#', 'C++', 'Java', '计算机相关专业', '全栈工程师']",天津,本科,经验不限,清华大学天津高端...,其他行业,"['节日福利', '免费工装', '团建聚餐', '员工旅游', '年终奖', '五险一金', '绩效奖金', '零食下午茶', '带薪年假', '定期体检']"
IOT销售工程师,11-20K,"['客户开发与维护', '电子/半导体/集成电路', '智能硬件', '对机构 (To B) 销售经验', '智能照明/智能家电', 'IOT/物联网/matter', '智能家居/方案商/模组']",深圳,大专,1-3年,集贤,半导体/芯片,"['生日福利', '定期体检', '团建聚餐', '零食下午茶', '免费午餐', '节假日加班费', '全勤奖', '员工旅游', '节日福利', '五险一金', '补充医疗保险', '年终奖', '带薪年假']"
IOT软件工程师,8-11K,"['功能测试', 'MySQL', '计算机相关专业', '自动化测试经验']",珠海,本科,1-3年,兆丰金,企业服务,['五险一金']
物联网开发工程师,8-11K·15薪,"['C++', 'C', 'Redis', 'MySQL', 'Oracle', '嵌入式软件经验']",成都,本科,在校/应届,长虹云大中心,计算机软件,"['五险一金', '定期体检', '年终奖', '带薪年假', '节日福利', '企业年金']"
开发工程师(物联网),10-12K,"['后端工程师', 'C/C++', 'Python']",乌鲁木齐,大专,1-3年,新疆诺冠慧智,互联网,"['交通补助', '通讯补贴', '员工旅游', '带薪年假', '年终奖', '节日福利']"
物联网研发专员,4-6K,"['架构师', '智能硬件', '管理系统', '物联网']",唐山,大专,1-3年,天津嘉瑞诚科技,通信/网络设备,[]
IoT软件开发,10-15K,['C/C++/Java等'],武汉,本科,经验不限,华为,计算机软件,"['零食下午茶', '年终奖', '餐补', '五险一金', '加班补助', '节日福利', '定期体检', '股票期权', '员工旅游', '补充医疗保险']"
IOT软件工程师,8-11K,"['功能测试', '自动化测试', 'MySQL', '计算机相关专业']",珠海,大专,1-3年,中科亿星,互联网,"['年终奖', '包吃', '全勤奖', '绩效奖金', '保底工资', '五险一金', '带薪年假', '加班补助']"
工业物联网工程师,14-15K·14薪,"['Java', 'Spring']",重庆,本科,1-3年,CMCU,建筑设计,"['通讯补贴', '年终奖', '交通补助', '带薪年假', '补充医疗保险', '住房补贴', '餐补', '全勤奖', '节日福利', '零食下午茶', '定期体检', '五险一金']"
IoT物联网安全初级工程师,10-15K,"['Java', 'Python', 'Burp Suite', '渗透测试经验', 'Web测试经验', '攻防对抗经验', 'Iot', '物联网', 'Devsecops ']",西安,本科,1-3年,立达信,电子/硬件开发,"['五险一金', '定期体检', '带薪年假', '加班补助', '年终奖', '员工旅游', '节日福利', '包吃']"
智能家居-IoT（APP+Web）测试-外派楠社,6-10K,"['Java', 'Python', 'MySQL', 'mqtt协议', 'LOT']",常州,本科,3-5年,博网科技,计算机服务,"['五险一金', '定期体检', '零食下午茶', '绩效奖金', '节假日加班费', '节日福利', '员工旅游', '生日福利', '带薪年假', '全勤奖', '底薪加提成', '年终奖', '团建聚餐', '补充医疗保险']"
物联网开发工程师,10-15K·14薪,['IOT'],柳州,本科,3-5年,七识科技,互联网,"['节日福利', '通讯补贴', '年终奖', '五险一金', '餐补', '带薪年假', '定期体检']"
java物联网开发工程师,8-12K,"['Java', 'Spring', 'SpringCloud', 'Docker', '不接受居家办公', 'PostgreSQL', 'SQL Server', 'MySQL', '物联网经验', '大数据经验', 'MES开发经验', 'IOT', '物联网']",新乡,本科,3-5年,万新电气,电子/半导体/集成电路,"['包吃', '五险一金', '免费班车', '加班补助', '全勤奖', '年终奖', '带薪年假', '节日福利']"
IOT工程师,20-30K·15薪,"['Java', 'Spring', 'MySQL', '不接受居家办公', 'IOT', '智能制造']",苏州,本科,3-5年,汇川联合动力,汽车零部件,"['节日福利', '免费班车', '五险一金', '带薪年假', '员工旅游', '年终奖', '定期体检', '股票期权']"
IOT测试工程师,6-8K,"['软件测试', 'Python']",嘉兴,大专,1-3年,闻泰通讯股份有限公司,通信/网络设备,"['定期体检', '员工旅游', '股票期权', '餐补', '五险一金', '全勤奖', '加班补助', '补充医疗保险', '通讯补贴', '带薪年假', '交通补助', '包吃', '零食下午茶', '节日福利']"
智能家居-IoT（APP+Web）测试,12-13K,"['嵌入式测试', '功能测试']",常州,大专,3-5年,神州在线,企业服务,[]
Java物联网开发工程师,8-13K,"['全栈工程师', 'Java', '物联网', '大数据', '人工智能']",保定,本科,3-5年,红黑科技,计算机软件,"['团建聚餐', '带薪年假', '节日福利', '五险一金', '绩效奖金', '年终奖']"
Java开发工程师（iot） (MJ002505),25-50K,"['后端工程师', 'Java', 'iot']",北京,本科,3-5年,神州租车,生活服务（O2O）,"['餐补', '年终奖', '加班补助', '带薪年假', '员工旅游', '五险一金', '节日福利']"
物联网开发工程师,6-10K,"['物联网', 'Java', '多线程', '网络协议', '音视频开发']",太原,本科,1-3年,恒优创,互联网,"['员工旅游', '定期体检', '加班补助', '零食下午茶', '年终奖', '五险一金', '带薪年假', '股票期权']"
物联网工程师,4-8K,"['C', 'C#', 'Java', 'Tomcat', 'SQL Server', 'MySQL', 'Redis', '不接受居家办公', '大数据经验', '物联网经验', '云计算经验']",临沂,本科,1-3年,华博软件,计算机软件,"['员工旅游', '底薪加提成', '工龄奖', '五险一金', '年终奖']"
物联网开发工程师,6-11K,"['Java', 'MySQL', 'Redis', 'Java开发经验', 'MQTT', '分布式开发经验', '物联网']",南昌,本科,1-3年,南昌有品教育软件,计算机软件,"['保底工资', '年终奖', '五险一金', '意外险', '加班补助', '夜班补助', '绩效奖金', '底薪加提成', '补充医疗保险', '股票期权']"
物联网服务器开发工程师,8-13K,"['Java', 'Python', 'Spring', 'MySQL', 'SQL Server', '架构设计经验', '物联网经验']",南宁,本科,3-5年,克莱因电力,电力/热力/燃气/水利,"['年终奖', '有无线网', '保底工资', '工龄奖', '节日福利', '生日福利', '交通补助', '五险一金', '股票期权', '包吃', '员工旅游', '带薪年假', '团建聚餐', '通讯补贴', '包住', '绩效奖金']"
物联网实习生,2-3K,"['Java', 'C++', 'Python', '物联网经验']",长沙,本科,经验不限,赢科储能,储能,"['餐补', '底薪加提成', '绩效奖金', '带薪年假', '年终奖', '五险一金']"
前端工程师（物联网方向）,6-10K,"['React', 'Vue', 'Node.js', '前端开发经验', '架构师经验', '不接受居家办公']",太原,本科,3-5年,山西千极,互联网,[]
物联网工程师,10-15K,"['C', 'C++', 'MySQL', 'Linux开发/部署经验', '物联网', '二次开发']",襄阳,本科,3-5年,华中药业,生物/制药,"['包住', '免费三餐', '带薪年假', '员工旅游', '五险一金', '企业年金', '定期体检']"
物联网IOT架构师,20-30K,[],东莞,本科,5-10年,某大型知名其他行业公司,其他行业,"['五险一金', '带薪年假', '生日福利', '团建聚餐', '餐补', '补充医疗保险', '高温补贴', '年终奖', '通讯补贴', '绩效奖金', '住房补贴', '员工旅游', '零食下午茶', '交通补助', '节日福利', '定期体检']"
物联网测试/技术支持,10-15K·13薪,"['功能测试', '项目实施']",杭州,本科,1-3年,绿城产业,企业服务,"['零食下午茶', '年终奖', '五险一金', '带薪年假', '节日福利']"
自动化测试（物联网）,8-11K,"['Selenium', 'Python']",西安,本科,3-5年,altenchina,计算机软件,"['带薪年假', '补充医疗保险', '定期体检', '节日福利', '年终奖', '五险一金', '加班补助']"
物联网后台工程师,12-20K,['Socket'],杭州,本科,3-5年,中力,机械设备/机电/重工,"['高温假', '五险一金', '带薪年假', '包住', '免费班车', '高温补贴', '包吃', '年终奖', '节日福利', '员工旅游']"
IOT运维技术支持工程师,10-12K,"['企业内部IT技术支持', '售前/售后技术支持', '计算机/通信相关专业', 'OMS/WMS/TMS支持经验', '售前支持/技术咨询经验', 'IOT', '物联网', '智能家居']",南京,本科,1-3年,神州信息,计算机软件,"['补充医疗保险', '意外险', '股票期权', '年终奖', '餐补', '朝九晚六', '带薪年假', '定期体检', '五险一金']"
物联网技术支持工程师-TSE(iot),5-10K,"['售前/售后技术支持', '计算机/通信相关专业', '售前支持/技术咨询经验', '售后支持/客户响应经验', '有电子工程技术背景优先考虑']",上海,大专,经验不限,翰数科技,大数据,"['节日福利', '绩效奖金', '五险一金']"
物联网开发工程师,8-12K·13薪,"['C++服务端开发经验', 'C++', 'Socket技术', '后端开发', 'SQL']",宁波,大专,1-3年,伟立机器人科技股份,机械设备/机电/重工,"['工龄奖', '五险一金', '宿舍有空调', '餐补', '意外险', '高温补贴', '有无线网', '带薪年假', '包吃', '包住', '夜班补助']"
