Job Name,Job Salary,Job Year,Job Area,Job Degree,Job label,Industry,Scale
物联网开发工程师,1.2-2万,3年及以上,深圳·龙华区,本科,"['五险一金', '员工旅游', '节日福利']",['通信/电信/网络设备'],['少于50人']
物联网技术支持工程实习生,4-8千,无需经验,长春·南关区,大专,"['电子信息工程', '安装管理', '物联网系统', '物联网工程', '技术支持', '硬件设备', '数据处理', '数据传输', '员工旅游', '带薪年假', '节日福利', '年终奖', '不加班', '五险一金', '包住', '绩效奖金', '双休']",['机械/设备/重工'],['']
物联网全栈研发工程师,1-2万,5年及以上,武汉·洪山区,本科,"['物联网', 'java', '数据库', 'vue', 'linux', 'html5', 'docker', '分布式', '前后端开发', '全栈开发', '五险一金', '周末双休', '员工体检', '下午茶', '节日福利', '员工团建']",['计算机软件'],['少于50人']
物联网硬件产品经理,1-2万,2年,上海·青浦区,大专,"['五险一金', '交通补贴', '年终奖金', '绩效奖金', '餐饮补贴', '定期体检']",['仪器仪表/工业自动化'],['500-1000人']
物联网硬件工程师,1.8-3.5万·13薪,3-4年,珠海,本科,"['模电', '滤波器', '霍尔', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']",['电子技术/半导体/集成电路'],['50-150人']
物联网工程师(J10226),1-1.6万·14薪,2年及以上,佛山·顺德区,本科,"['数据采集', '通信协议', '物联网', 'SAP', 'MES', '带薪年假', '五险一金', '免费班车', '全勤奖', '节日福利', '加班补贴', '提供吃宿', '年终奖金']",['机械/设备/重工'],['1000-5000人']
物联网电气工程师,1.2-2.4万,4年及以上,泰州,本科,"['培训', 'mysql', '数据库', '电子', '自动化', 'plc', '电气', '通信', '功能设计', 'tcp', '绩效奖金', '年终奖金', '专业培训', '节日福利']",['汽车'],['5000-10000人']
物联网软件测试工程师（初级）,6-8千·13薪,无需经验,深圳·龙华区,大专,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']",['计算机软件'],['少于50人']
高级物联网测试工程师,1.3-1.8万·13薪,5-8年,广州·海珠区,本科,"['五险一金', '带薪年假', '节日福利', '免费班车', '绩效奖金', '年终奖金', '定期体检']",['机械/设备/重工'],['1000-5000人']
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['模电', '滤波器', '霍尔', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']",['电子技术/半导体/集成电路'],['50-150人']
物联网电气工程师,1.2-2.4万,4年及以上,泰州,本科,"['培训', 'mysql', '数据库', '电子', '自动化', 'plc', '电气', '通信', '功能设计', 'tcp', '绩效奖金', '年终奖金', '专业培训', '节日福利']",['汽车'],['5000-10000人']
物联网技术助理工程师,7千-1.2万·13薪,无需经验,北京·昌平区,本科,"['电子信息', '物联网', '通信', '调试', '五险一金']",['计算机软件'],['']
研发总监（智能物联网、仪器仪表）,3-3.5万,5-7年,深圳,本科,"['电子', '团队管理', '电子元器件', '模拟电路', '产品设计', '物联网', '电子信息工程', '传感器', '硬件', '项目', '定期体检', '专业培训', '员工旅游', '年终奖金', '五险一金', '周末双休']",['电子技术/半导体/集成电路'],['150-500人']
物联网平台软件开发工程师,2-3万,5年及以上,珠海,本科,"['java', 'mysql', '数据库', '软件工程', '项目开发', '单元测试', '物联网', '编程语言', 'http', '架构设计', '五险一金', '员工旅游', '专业培训', '绩效奖金', '定期体检']",['家具/家电/玩具/礼品'],['1000-5000人']
物联网智慧门店新零售工程师,1-1.5万,3-4年,上海·奉贤区,本科,"['工程师', '英语口语', '物联网', '计算机应用', 'c语言编程', '网络系统', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '出国机会', '定期体检', '弹性工作']",['家居/室内设计/装潢'],['150-500人']
物联网行业销售（华北、华东地区,2.5-4万·13薪,5年及以上,,本科,"['五险一金', '员工旅游', '专业培训', '交通补贴', '出国机会', '年终奖金', '定期体检']",['计算机软件'],['']
高级售前工程师（人工智能及物联网方向）,2-2.5万,5年及以上,广州·南沙区,本科,"['服务器', '大数据', '安全', '云计算', '物联网', '人工智能', 'it行业', '电力行业', '方案汇报', '技术协调', '带薪年假', '五险一金', '绩效奖金', '定期体检', '专业培训', '项目奖金']",['电子技术/半导体/集成电路'],['1000-5000人']
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['模电', '滤波器', '霍尔', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']",['电子技术/半导体/集成电路'],['50-150人']
物联网硬件产品专员,8千-1.2万,1-3年,深圳·龙岗区,大专,"['计算机', '电子', '项目管理', '市场分析', '竞品分析', '产品规划', '通讯', 'ipc', '品牌定位', '通信协议', '五险一金', '员工旅游', '交通补贴', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '定期体检', '节日福利']",['互联网/电子商务'],['500-1000人']
物联网平台产品经理,1.4-2.8万,3年及以上,苏州·吴江区,本科,"['管理', '测试', '市场调研', '产品开发', '试产', '理工科', '竞品分析', '调研', '产品规划', '用户体验', '五险一金', '补充医疗保险', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权', '弹性工作']",['电子技术/半导体/集成电路'],['150-500人']
高级物联网测试工程师,1.3-1.8万·13薪,5-8年,广州·海珠区,本科,"['五险一金', '带薪年假', '节日福利', '免费班车', '绩效奖金', '年终奖金', '定期体检']",['机械/设备/重工'],['1000-5000人']
工业物联网研究所研发技术人员,7千-1.4万,无需经验,广州·白云区,本科,"['数据分析', '传感器', '通信工程', '计算机科学', '工业物联网', '绩效奖金', '餐饮补贴', '节日福利', '周末双休', '提供饭堂']",['教育/培训/院校'],['500-1000人']
物联网安全工程师/六险,6-8千,1年,深圳·龙华区,大专,"['系统集成', '网络安全', '电子', '自动化', '技术支持', '软件', '应届生', '编程', '储备干部', '机械', '周末双休', '带薪年假', '五险一金', '包住宿', '餐饮补贴', '节日福利', '绩效奖金', '定期体检']",['计算机硬件'],['150-500人']
物联网教研员,8千-1.2万·13薪,1-3年,南京·雨花台区,本科,"['c++', 'python', 'ARM', 'Cortex', 'Linux', 'RTOS', 'I2C', 'SPI', 'UART', 'CAN', '五险一金', '专业培训', '出国机会', '年终奖金', '弹性工作', '定期体检']",['教育/培训/院校'],['150-500人']
物联网硬件产品经理,1.3-2.5万,1年,深圳·龙岗区,本科,"['sql', '智能家居', '硬件产品', '五险一金', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '节日福利', '带薪年假']",['互联网/电子商务'],['500-1000人']
