Job Name,Job Salary,Job Year,Job Area,Job Degree,Job label
物联网后端工程师,1-1.8万·15薪,3年及以上,台州·温岭市,本科,"['五险一金', '交通补贴', '餐补']"
物联网I0T后端开发工程师,1-2万,3-5年,东莞·凤岗镇,本科,"['五险一金', '员工旅游', '专业培训', '年终奖金', '提供住宿', '生日福利', '下午茶']"
产品经理（物联网方向）,8千-1.3万,2年及以上,上海·松江区,本科,"['软件开发', '产品设计', '原型设计', '界面设计', '产品规划', '设计管理', '物联网', '测试流程', '开发文档', '技术开发', '五险一金', '免费班车', '绩效奖金', '定期体检', '带薪年假', '免费住宿', '餐补']"
电子与物联网技术老师（计算机）,5千-1万,2年,清远·清城区,本科,"['授课', '系统开发', '电子信息工程', '通信工程', 'rfid', '软件编程', '职业教育', 'android应用', '物联网应用', '物联网工程', '节日福利', '五险一金', '餐饮补贴', '定期体检', '年终奖金', '免费班车', '绩效奖金', '专业培训', '企业年金', '带薪寒暑假']"
AIoT产品经理/物联网平台产品经理,1.3-1.6万,3-5年,苏州·苏州工业园区,本科,"['AIoT', '物联网平台', '五险一金', '补充医疗保险', '员工旅游', '交通补贴', '年终奖金', '绩效奖金']"
物联网销售经理（火烧云服务云平台）,8-15万/年,3-4年,无锡·滨湖区,本科,"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '交通补贴', '餐饮补贴', '通讯补贴', '高温补贴', '租房补贴', '销售经理', '销售工程师']"
物联网嵌入式开发工程师,1.5-3万,1年,深圳·龙华区,本科,"['示波器', '万用表', '客户资源', '硬件', '电路原理图', '嵌入式系统', '岗位培训', '安卓', 'c语言开发', '微信', '补充医疗保险', '员工旅游', '交通补贴', '绩效奖金', '年终奖金', '五险', '带薪年假', '全勤奖', '节日福利', '住房补贴']"
物联网产品经理,8千-1.2万,3年及以上,广州,本科,"['管理', '推广', '产品开发', '原型设计', '物联网', '计算机科学', '需求管理', 'sketch', '信息技术', '质量保证', '周末双休', '五险一金', '专业培训', '上市公司', '晋升渠道畅通']"
软硬件测试开发工程师（物联网）,1.3-2.4万·13薪,3年及以上,深圳·福田区,本科,"['硬件测试', '嵌入式测试', '软件测试', '测试开发', '五险一金', '专业培训', '绩效奖金']"
大客户经理/销售工程师（物联网 IT）,6千-1万,2年及以上,宁波·鄞州区,大专,"['销售', '商务合作', '分析客户', '大客户代表', '销售精英', '销售工程师', '周末双休', '高温补贴', '全勤奖']"
物联网技术助理工程师,7千-1.2万,无需经验,郑州,本科,"['电子信息', '物联网', '通信', '调试', '五险一金']"
物联网技术助理工程师,7千-1.2万,无需经验,郑州,本科,"['电子信息', '物联网', '通信', '调试', '五险一金']"
物联网软件测试工程师（初级）,6-8千·13薪,无需经验,深圳·龙华区,大专,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
区域销售经理（物联网/智能化）,20-40万/年,3-4年,宁波·鄞州区,大专,"['物联网销售', '区域销售', '智能化销售', '销售经理', '周末双休', '高温补贴', '全勤奖', '五险']"
物联网工程教师,6千-1.2万·13薪,1年,武汉·洪山区,硕士,"['老师', '教师', '讲师', '五险一金', '免费班车', '员工旅游', '专业培训', '通讯补贴', '餐饮补贴', '交通补贴', '年终奖金', '定期体检', '寒暑假']"
高级物联网测试工程师,1.3-1.8万·13薪,5-8年,广州·海珠区,本科,"['五险一金', '带薪年假', '节日福利', '免费班车', '绩效奖金', '年终奖金', '定期体检']"
物联网销售经理,1-1.8万,1年,深圳·南山区,大专,"['销售专员', '销售经理', '物联网销售', '流量卡销售', '五险一金', '年终奖金', '周末双休', '餐饮补贴', '带薪年假', '节日福利', '法定节假']"
物联网平台软件开发工程师,1-2万·13薪,2年及以上,上海·青浦区,本科,"['java', 'mysql', '数据库', '测试', '软件开发', 'mongodb', '架构设计', '技术方案', 'http', 'tcp']"
硬件工程师（物联网）,1.3-2.5万,5-7年,深圳,大专,"['电路设计', '原理图设计', '数电', '社保', '员工旅游', '餐饮补贴']"
物联网产品经理,1.8-3万·14薪,5-7年,珠海·珠海高新区,本科,"['专业培训', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '周末双休', '补充医疗保险', '免费班车', '交通补贴', '六险一金']"
物联网硬件工程师,8千-1.2万,2年及以上,广州·海珠区,本科,"['计算机', '电子', '测试', 'c++', '功能测试', '编程', '通信', '研发', '数据结构', '性能测试', '社会保险']"
物联网产品经理,1.2-1.4万,3年及以上,西安·雁塔区,本科,"['产品开发', '物联网', '物联网产品', '产品性能', '通信网络架构', '五险一金', '绩效奖金', '年终奖金', '交通补贴']"
硬件工程师（物联网）,1.3-2.5万,5-7年,深圳,大专,"['电路设计', '原理图设计', '数电', '社保', '员工旅游', '餐饮补贴']"
物联网产品经理,1.8-3万·14薪,5-7年,珠海·珠海高新区,本科,"['专业培训', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '周末双休', '补充医疗保险', '免费班车', '交通补贴', '六险一金']"
物联网销售工程师,8千-1.6万,2年,深圳·南山区,大专,"['销售代表', 'CAT1', '5G通讯', 'DTU', '物联网', '电脑']"
物联网工程师,12-15万/年,2年,上海·青浦区,本科,"['软件工程师', '网络', '五险一金', '专业培训', '年终奖金', '定期体检', '免费班车']"
物联网工程师,1.2-2万,2年,南京·江宁区,本科,"['linux', '物联网', 'tcp/ip', 'modbus', 'mqtt', 'usb', 'lora', 'nb_iot', '五险一金', '定期体检', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']"
物联网技术支持工程实习生,4-8千,无需经验,长春·南关区,大专,"['电子信息工程', '安装管理', '物联网系统', '物联网工程', '技术支持', '硬件设备', '数据处理', '数据传输', '员工旅游', '带薪年假', '节日福利', '年终奖', '不加班', '五险一金', '包住', '绩效奖金', '双休']"
物联网全栈研发工程师,1-2万,5年及以上,武汉·洪山区,本科,"['物联网', 'java', '数据库', 'vue', 'linux', 'html5', 'docker', '分布式', '前后端开发', '全栈开发', '五险一金', '周末双休', '员工体检', '下午茶', '节日福利', '员工团建']"
物联网工程师,8千-1.2万·13薪,2年,长沙·长沙县,本科,"['计算机', '工业互联网', '工业通讯协议', '物联网平台', '云平台', '平台开发', '机械电子工程', '物联网', '方案设计书', '网络通讯协议', '周末双休', '通讯补贴', '绩效奖金', '定期体检', '员工旅游', '餐饮补贴', '购买五险', '包吃包住']"
物联网开发工程师,1.2-2万,3年及以上,深圳·龙华区,本科,"['五险一金', '员工旅游', '节日福利']"
物联网硬件工程师,1-1.5万,5年及以上,合肥·蜀山区,本科,"['计算机', '自动化', '示波器', '模拟电路', '数字电路', '数学', '大数据', 'cadence', '云计算', '物联网', '带薪年假', '全勤奖', '节日福利', '专业培训', '五险一金']"
物联网电气工程师,1.2-2.4万,4年及以上,泰州,本科,"['培训', 'mysql', '数据库', '电子', '自动化', 'plc', '电气', '通信', '功能设计', 'tcp', '绩效奖金', '年终奖金', '专业培训', '节日福利']"
物联网硬件产品经理,1-2万·13薪,5年及以上,昆山,本科,"['计算机', '自动化', '解决方案', '互联网', '物联网', '硬件设计', '传感器', '嵌入式', '流程管理', '自动化控制', '五险一金', '免费班车', '员工旅游', '年终奖金', '定期体检', '专业培训']"
物联网技术助理工程师,7千-1.2万·13薪,无需经验,北京·昌平区,本科,"['电子信息', '物联网', '通信', '调试', '五险一金']"
高级物联网测试工程师,1.3-1.8万·13薪,5-8年,广州·海珠区,本科,"['五险一金', '带薪年假', '节日福利', '免费班车', '绩效奖金', '年终奖金', '定期体检']"
物联网电气工程师,1.2-2.4万,4年及以上,泰州,本科,"['培训', 'mysql', '数据库', '电子', '自动化', 'plc', '电气', '通信', '功能设计', 'tcp', '绩效奖金', '年终奖金', '专业培训', '节日福利']"
物联网硬件工程师,1.8-3.5万·13薪,3-4年,珠海,本科,"['模电', '滤波器', '霍尔', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']"
物联网平台软件开发工程师,2-3万,5年及以上,珠海,本科,"['java', 'mysql', '数据库', '软件工程', '项目开发', '单元测试', '物联网', '编程语言', 'http', '架构设计', '五险一金', '员工旅游', '专业培训', '绩效奖金', '定期体检']"
物联网智慧门店新零售工程师,1-1.5万,3-4年,上海·奉贤区,本科,"['工程师', '英语口语', '物联网', '计算机应用', 'c语言编程', '网络系统', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '出国机会', '定期体检', '弹性工作']"
物联网硬件产品经理,1-2万,2年,上海·青浦区,大专,"['五险一金', '交通补贴', '年终奖金', '绩效奖金', '餐饮补贴', '定期体检']"
物联网工程师,8千-1.5万,2年,资阳,本科,"['五险一金', '餐饮补贴', '带薪年假', '绩效奖金', '补充医疗保险', '年终奖金', '定期体检', '专业培训', '年终奖', '双休']"
物联网电气工程师,1.2-2.4万,4年及以上,泰州,本科,"['培训', 'mysql', '数据库', '电子', '自动化', 'plc', '电气', '通信', '功能设计', 'tcp', '绩效奖金', '年终奖金', '专业培训', '节日福利']"
